new_customer,income_verification,language,age,gender,country,amount,loan_duration,use_of_loan,education,marital_status,nr_dependants,employment_status,employment_duration,work_experience,occupation,home_ownership,income,existing_debt,total_debt,debt_to_income,disposable_income,credit_score_microL,credit_score_equifax,credit_score_ee_mini,nr_previous_loans,amount_previous_loans,previous_repayments,previous_early_repayments,previous_early_repayments_count,default,credit_score_fi_asiakas_c,credit_score_fi_asiakas_n
0,expenses_verified,estonian,23,male,EE,5500.0,60,loan_consolidation,secondary,single,0.0,fully,UpTo1Year,2To5Years,transport,tenant_unfurnished,650.0,6,718.99,52.06,61.58,,,1000.0,1,3000.0,571.73,0.0,0,0,,
0,expenses_verified,russian,25,male,EE,1200.0,60,other,vocational,single,0.0,fully,UpTo1Year,5To10Years,transport,living_with_parents,445.0,4,386.77,24.7,85.1,,,1000.0,1,500.0,194.98,0.0,0,0,,
1,unverified,estonian,22,female,EE,1000.0,60,other,basic,cohabitant,1.0,entrepreneur,UpTo1Year,LessThan2Years,catering,living_with_parents,1117.0,1,335.0,6.02,714.75,,,700.0,0,0.0,0.0,0.0,0,1,,
1,unverified,finnish,49,female,FI,1000.0,60,other,basic,married,1.0,fully,MoreThan5Years,15To25Years,healthcare,tenant_unfurnished,1472.0,4,803.0,22.65,638.6,,,,0,0.0,0.0,0.0,0,0,RL2,
0,expenses_verified,estonian,25,female,EE,4100.0,60,loan_consolidation,secondary,cohabitant,1.0,fully,UpTo4Years,5To10Years,other,living_with_parents,503.0,4,520.49,36.23,70.74,,,1000.0,1,1500.0,1309.03,0.0,0,0,,
0,expenses_verified,russian,29,male,EE,1800.0,60,loan_consolidation,secondary,single,0.0,fully,UpTo2Years,10To15Years,other,tenant_furnished,690.0,8,923.45,63.58,1.33,,,1000.0,1,1100.0,1099.71,0.0,0,0,,
1,verified,finnish,46,female,FI,2000.0,36,other,basic,married,0.0,fully,MoreThan5Years,15To25Years,other,council_house,1800.0,4,1140.0,37.96,576.72,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,russian,21,male,EE,700.0,60,education,higher,single,0.0,entrepreneur,UpTo2Years,2To5Years,energy,tenant_furnished,970.0,1,291.0,2.8,651.85,,,1000.0,0,0.0,0.0,0.0,0,1,,
1,unverified,finnish,63,female,FI,3000.0,60,home_improvement,basic,married,0.0,entrepreneur,UpTo5Years,MoreThan25Years,other,owner,4020.0,3,1566.0,11.77,2340.69,,,,0,0.0,0.0,0.0,0,1,RL1,
1,verified,spanish,35,male,ES,2000.0,36,other,higher,married,1.0,self_employed,UpTo5Years,10To15Years,finance,owner,1700.0,2,1010.0,5.41,598.03,M3,A,,0,0.0,0.0,0.0,0,0,,
1,unverified,estonian,47,female,EE,600.0,60,vehicle,secondary,cohabitant,2.0,partially,UpTo5Years,10To15Years,catering,owner,718.0,1,250.0,2.53,449.81,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,unverified,spanish,42,male,ES,1000.0,60,business,secondary,divorced,0.0,self_employed,UpTo1Year,MoreThan25Years,processing,tenant_furnished,1200.0,1,360.0,3.5,798.06,M5,AA,,0,0.0,0.0,0.0,0,1,,
1,unverified,spanish,35,female,ES,1000.0,60,other,basic,married,1.0,fully,MoreThan5Years,15To25Years,other,mortgage,1410.0,3,1545.0,30.92,551.03,M1,B,,0,0.0,0.0,1400.0,1,1,,
0,expenses_verified,estonian,24,male,EE,700.0,36,other,secondary,single,0.0,fully,UpTo3Years,2To5Years,other,living_with_parents,712.0,3,510.97,28.43,259.57,,,1000.0,1,1600.0,2051.12,0.0,0,0,,
1,verified,estonian,26,male,EE,2000.0,36,loan_consolidation,secondary,cohabitant,0.0,fully,MoreThan5Years,5To10Years,catering,owner,850.0,3,521.0,42.3,235.49,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,unverified,spanish,23,male,ES,1000.0,60,other,vocational,single,0.0,fully,UpTo4Years,2To5Years,transport,living_with_parents,1079.0,5,737.0,40.84,288.38,M1,C,,0,0.0,0.0,0.0,0,1,,
1,unverified,estonian,35,female,EE,500.0,36,home_improvement,secondary,single,2.0,fully,MoreThan5Years,10To15Years,other,owner,928.0,2,533.0,2.33,373.4,,,1000.0,0,0.0,0.0,0.0,0,1,,
1,verified,estonian,41,male,EE,3000.0,60,health,higher,married,0.0,fully,MoreThan5Years,15To25Years,other,mortgage,1350.0,2,565.0,6.83,692.83,,,1000.0,0,0.0,0.0,0.0,0,0,,
0,verified,estonian,36,male,EE,1000.0,60,other,vocational,cohabitant,2.0,fully,MoreThan5Years,10To15Years,agriculture,owner,614.0,2,347.47,5.04,333.05,,,1000.0,1,1600.0,320.04,0.0,0,1,,
0,expenses_verified,estonian,52,male,EE,1500.0,36,other,secondary,cohabitant,1.0,fully,UpTo2Years,15To25Years,transport,owner,1215.0,3,890.46,5.0,440.27,,,800.0,1,3000.0,530.54,0.0,0,0,,
1,expenses_verified,estonian,46,female,EE,1000.0,9,home_improvement,vocational,cohabitant,1.0,fully,TrialPeriod,MoreThan25Years,catering,joint_ownership,420.0,2,279.0,35.95,19.01,,,1000.0,0,0.0,0.0,0.0,0,0,,
1,expenses_verified,estonian,22,female,EE,700.0,18,loan_consolidation,vocational,cohabitant,0.0,fully,UpTo2Years,2To5Years,healthcare,living_with_parents,430.0,3,437.8,34.26,32.69,,,800.0,0,0.0,0.0,0.0,0,0,,
0,expenses_verified,russian,57,female,EE,1400.0,36,home_improvement,higher,married,0.0,fully,MoreThan5Years,MoreThan25Years,administrative,owner,779.0,7,930.97,65.16,21.43,,,1000.0,2,3700.0,2386.47,0.0,0,0,,
1,unverified,finnish,37,male,FI,2000.0,60,home_improvement,vocational,cohabitant,2.0,fully,UpTo1Year,10To15Years,construction,owner,2400.0,2,970.0,13.1,1365.67,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,estonian,42,male,EE,1000.0,36,business,secondary,divorced,0.0,entrepreneur,UpTo1Year,10To15Years,finance,tenant_unfurnished,1050.0,2,535.0,26.84,453.18,,,600.0,0,0.0,0.0,0.0,0,1,,
1,verified,finnish,32,male,FI,3500.0,60,home_improvement,vocational,cohabitant,3.0,fully,UpTo3Years,10To15Years,construction,joint_ownership,1622.0,1,500.0,7.14,1006.23,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,spanish,34,female,ES,1000.0,60,other,higher,married,1.0,fully,UpTo5Years,5To10Years,telecom,owner,1400.0,1,420.0,2.57,944.03,M3,A,,0,0.0,0.0,0.0,0,1,,
0,verified,spanish,31,male,ES,1500.0,60,other,vocational,married,1.0,fully,UpTo3Years,10To15Years,other,tenant_furnished,1110.0,2,450.95,7.25,679.58,M1,C,,1,2200.0,283.39,0.0,0,1,,
1,expenses_verified,finnish,41,female,FI,3000.0,36,home_improvement,secondary,married,3.0,fully,MoreThan5Years,15To25Years,healthcare,owner,2036.0,2,910.0,20.85,1001.42,,,,0,0.0,0.0,0.0,0,0,RL2,
1,unverified,finnish,30,female,FI,1500.0,48,travel,vocational,single,0.0,fully,UpTo3Years,10To15Years,catering,tenant_furnished,1900.0,1,570.0,3.3,1267.38,,,,0,0.0,0.0,0.0,0,1,RL2,
1,expenses_verified,finnish,49,male,FI,7900.0,60,loan_consolidation,secondary,divorced,0.0,fully,MoreThan5Years,MoreThan25Years,processing,tenant_furnished,3100.0,9,1730.0,35.32,1075.02,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,english,31,male,ES,1000.0,60,business,higher,married,3.0,fully,UpTo1Year,LessThan2Years,telecom,tenant_furnished,1000.0,1,350.0,8.11,568.94,M9,C,,0,0.0,0.0,0.0,0,1,,
0,expenses_verified,estonian,39,male,EE,2000.0,60,loan_consolidation,secondary,married,1.0,fully,MoreThan5Years,10To15Years,entertainment,mortgage,1260.0,8,1502.81,48.68,268.62,,,800.0,1,3850.0,2025.9,0.0,0,0,,
0,verified,spanish,47,male,ES,1500.0,60,home_improvement,higher,widow,1.0,fully,UpTo1Year,15To25Years,research,living_with_parents,1918.0,4,881.02,5.38,1239.78,M3,AAA,,2,4500.0,1410.78,0.0,0,0,,
1,unverified,finnish,49,male,FI,3000.0,60,other,higher,married,0.0,fully,UpTo5Years,MoreThan25Years,transport,owner,3300.0,2,1590.0,2.97,1612.15,,,,0,0.0,0.0,0.0,0,1,RL2,
1,unverified,finnish,35,male,FI,800.0,60,other,vocational,single,0.0,retiree,UpTo3Years,10To15Years,transport,mortgage,1961.0,2,884.0,1.31,1051.27,,,,0,0.0,0.0,0.0,0,0,RL2,
0,verified,spanish,41,male,ES,3000.0,36,other,higher,married,2.0,fully,MoreThan5Years,15To25Years,civil_service,joint_tenant,2264.0,3,909.55,14.55,1255.53,M2,C,,1,3000.0,327.69,0.0,0,0,,
1,unverified,finnish,33,male,FI,2000.0,36,other,secondary,cohabitant,1.0,fully,MoreThan5Years,10To15Years,other,owner,2090.0,2,1592.0,3.97,415.08,,,,0,0.0,0.0,0.0,0,0,RL2,
1,unverified,finnish,34,male,FI,1500.0,60,loan_consolidation,vocational,cohabitant,0.0,fully,UpTo3Years,2To5Years,transport,tenant_furnished,1700.0,1,510.0,2.82,1142.07,,,,0,0.0,0.0,0.0,0,1,RL2,
0,expenses_verified,estonian,24,female,EE,3000.0,60,home_improvement,basic,cohabitant,3.0,fully,UpTo1Year,LessThan2Years,other,joint_ownership,849.0,7,809.65,67.47,22.17,,,800.0,2,3000.0,1705.23,0.0,0,1,,
1,unverified,spanish,42,male,ES,1100.0,36,other,higher,divorced,1.0,fully,MoreThan5Years,10To15Years,other,owner,1550.0,1,465.0,6.09,990.56,M6,C,,0,0.0,0.0,0.0,0,1,,
